title,table_number,cell_number,level,total,white,black,aian,asian,nhopi,sor,two,hispanic,sex,start_age,end_age,median_age
68 years,PCT12,PCT0120175,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,68,68,missing
69 years,PCT12,PCT0120176,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,69,69,missing
70 years,PCT12,PCT0120177,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,70,70,missing
71 years,PCT12,PCT0120178,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,71,71,missing
72 years,PCT12,PCT0120179,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,72,72,missing
73 years,PCT12,PCT0120180,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,73,73,missing
74 years,PCT12,PCT0120181,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,74,74,missing
75 years,PCT12,PCT0120182,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,75,75,missing
76 years,PCT12,PCT0120183,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,76,76,missing
77 years,PCT12,PCT0120184,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,77,77,missing
78 years,PCT12,PCT0120185,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,78,78,missing
79 years,PCT12,PCT0120186,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,79,79,missing
80 years,PCT12,PCT0120187,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,80,80,missing
81 years,PCT12,PCT0120188,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,81,81,missing
82 years,PCT12,PCT0120189,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,82,82,missing
83 years,PCT12,PCT0120190,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,83,83,missing
84 years,PCT12,PCT0120191,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,84,84,missing
85 years,PCT12,PCT0120192,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,85,85,missing
86 years,PCT12,PCT0120193,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,86,86,missing
87 years,PCT12,PCT0120194,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,87,87,missing
88 years,PCT12,PCT0120195,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,88,88,missing
89 years,PCT12,PCT0120196,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,89,89,missing
90 years,PCT12,PCT0120197,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,90,90,missing
91 years,PCT12,PCT0120198,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,91,91,missing
92 years,PCT12,PCT0120199,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,92,92,missing
93 years,PCT12,PCT0120200,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,93,93,missing
94 years,PCT12,PCT0120201,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,94,94,missing
95 years,PCT12,PCT0120202,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,95,95,missing
96 years,PCT12,PCT0120203,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,96,96,missing
97 years,PCT12,PCT0120204,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,97,97,missing
98 years,PCT12,PCT0120205,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,98,98,missing
99 years,PCT12,PCT0120206,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,99,99,missing
100 to 104 years,PCT12,PCT0120207,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,100,104,missing
105 to 109 years,PCT12,PCT0120208,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,105,109,missing
110 years and over,PCT12,PCT0120209,tract,missing,missing,missing,missing,missing,missing,missing,missing,missing,female,110,110,missing
Under 5 years,P12A,P012A003,block,missing,Y,N,N,N,N,N,missing,missing,male,0,4,missing
5 to 9 years,P12A,P012A004,block,missing,Y,N,N,N,N,N,missing,missing,male,5,9,missing
10 to 14 years,P12A,P012A005,block,missing,Y,N,N,N,N,N,missing,missing,male,10,14,missing
15 to 17 years,P12A,P012A006,block,missing,Y,N,N,N,N,N,missing,missing,male,15,17,missing
18 and 19 years,P12A,P012A007,block,missing,Y,N,N,N,N,N,missing,missing,male,18,19,missing
20 years,P12A,P012A008,block,missing,Y,N,N,N,N,N,missing,missing,male,20,20,missing
21 years,P12A,P012A009,block,missing,Y,N,N,N,N,N,missing,missing,male,21,21,missing
22 to 24 years,P12A,P012A010,block,missing,Y,N,N,N,N,N,missing,missing,male,22,24,missing
25 to 29 years,P12A,P012A011,block,missing,Y,N,N,N,N,N,missing,missing,male,25,29,missing
30 to 34 years,P12A,P012A012,block,missing,Y,N,N,N,N,N,missing,missing,male,30,34,missing
35 to 39 years,P12A,P012A013,block,missing,Y,N,N,N,N,N,missing,missing,male,35,39,missing
40 to 44 years,P12A,P012A014,block,missing,Y,N,N,N,N,N,missing,missing,male,40,44,missing
45 to 49 years,P12A,P012A015,block,missing,Y,N,N,N,N,N,missing,missing,male,45,49,missing
50 to 54 years,P12A,P012A016,block,missing,Y,N,N,N,N,N,missing,missing,male,50,54,missing
55 to 59 years,P12A,P012A017,block,missing,Y,N,N,N,N,N,missing,missing,male,55,59,missing
60 and 61 years,P12A,P012A018,block,missing,Y,N,N,N,N,N,missing,missing,male,60,61,missing
62 to 64 years,P12A,P012A019,block,missing,Y,N,N,N,N,N,missing,missing,male,62,64,missing
65 and 66 years,P12A,P012A020,block,missing,Y,N,N,N,N,N,missing,missing,male,65,66,missing
67 to 69 years,P12A,P012A021,block,missing,Y,N,N,N,N,N,missing,missing,male,67,69,missing
70 to 74 years,P12A,P012A022,block,missing,Y,N,N,N,N,N,missing,missing,male,70,74,missing
75 to 79 years,P12A,P012A023,block,missing,Y,N,N,N,N,N,missing,missing,male,75,79,missing
80 to 84 years,P12A,P012A024,block,missing,Y,N,N,N,N,N,missing,missing,male,80,84,missing
85 years and over,P12A,P012A025,block,missing,Y,N,N,N,N,N,missing,missing,male,85,110,missing
Under 5 years,P12A,P012A027,block,missing,Y,N,N,N,N,N,missing,missing,female,0,4,missing
5 to 9 years,P12A,P012A028,block,missing,Y,N,N,N,N,N,missing,missing,female,5,9,missing
10 to 14 years,P12A,P012A029,block,missing,Y,N,N,N,N,N,missing,missing,female,10,14,missing
15 to 17 years,P12A,P012A030,block,missing,Y,N,N,N,N,N,missing,missing,female,15,17,missing
18 and 19 years,P12A,P012A031,block,missing,Y,N,N,N,N,N,missing,missing,female,18,19,missing
20 years,P12A,P012A032,block,missing,Y,N,N,N,N,N,missing,missing,female,20,20,missing
21 years,P12A,P012A033,block,missing,Y,N,N,N,N,N,missing,missing,female,21,21,missing
22 to 24 years,P12A,P012A034,block,missing,Y,N,N,N,N,N,missing,missing,female,22,24,missing
25 to 29 years,P12A,P012A035,block,missing,Y,N,N,N,N,N,missing,missing,female,25,29,missing
30 to 34 years,P12A,P012A036,block,missing,Y,N,N,N,N,N,missing,missing,female,30,34,missing
35 to 39 years,P12A,P012A037,block,missing,Y,N,N,N,N,N,missing,missing,female,35,39,missing
40 to 44 years,P12A,P012A038,block,missing,Y,N,N,N,N,N,missing,missing,female,40,44,missing
45 to 49 years,P12A,P012A039,block,missing,Y,N,N,N,N,N,missing,missing,female,45,49,missing
50 to 54 years,P12A,P012A040,block,missing,Y,N,N,N,N,N,missing,missing,female,50,54,missing
55 to 59 years,P12A,P012A041,block,missing,Y,N,N,N,N,N,missing,missing,female,55,59,missing
60 and 61 years,P12A,P012A042,block,missing,Y,N,N,N,N,N,missing,missing,female,60,61,missing
62 to 64 years,P12A,P012A043,block,missing,Y,N,N,N,N,N,missing,missing,female,62,64,missing
65 and 66 years,P12A,P012A044,block,missing,Y,N,N,N,N,N,missing,missing,female,65,66,missing
67 to 69 years,P12A,P012A045,block,missing,Y,N,N,N,N,N,missing,missing,female,67,69,missing
70 to 74 years,P12A,P012A046,block,missing,Y,N,N,N,N,N,missing,missing,female,70,74,missing
75 to 79 years,P12A,P012A047,block,missing,Y,N,N,N,N,N,missing,missing,female,75,79,missing
80 to 84 years,P12A,P012A048,block,missing,Y,N,N,N,N,N,missing,missing,female,80,84,missing
85 years and over,P12A,P012A049,block,missing,Y,N,N,N,N,N,missing,missing,female,85,110,missing
Under 5 years,P12B,P012B003,block,missing,N,Y,N,N,N,N,missing,missing,male,0,4,missing
5 to 9 years,P12B,P012B004,block,missing,N,Y,N,N,N,N,missing,missing,male,5,9,missing
10 to 14 years,P12B,P012B005,block,missing,N,Y,N,N,N,N,missing,missing,male,10,14,missing
15 to 17 years,P12B,P012B006,block,missing,N,Y,N,N,N,N,missing,missing,male,15,17,missing
18 and 19 years,P12B,P012B007,block,missing,N,Y,N,N,N,N,missing,missing,male,18,19,missing
20 years,P12B,P012B008,block,missing,N,Y,N,N,N,N,missing,missing,male,20,20,missing
21 years,P12B,P012B009,block,missing,N,Y,N,N,N,N,missing,missing,male,21,21,missing
22 to 24 years,P12B,P012B010,block,missing,N,Y,N,N,N,N,missing,missing,male,22,24,missing
25 to 29 years,P12B,P012B011,block,missing,N,Y,N,N,N,N,missing,missing,male,25,29,missing
30 to 34 years,P12B,P012B012,block,missing,N,Y,N,N,N,N,missing,missing,male,30,34,missing
35 to 39 years,P12B,P012B013,block,missing,N,Y,N,N,N,N,missing,missing,male,35,39,missing
40 to 44 years,P12B,P012B014,block,missing,N,Y,N,N,N,N,missing,missing,male,40,44,missing
45 to 49 years,P12B,P012B015,block,missing,N,Y,N,N,N,N,missing,missing,male,45,49,missing
50 to 54 years,P12B,P012B016,block,missing,N,Y,N,N,N,N,missing,missing,male,50,54,missing
55 to 59 years,P12B,P012B017,block,missing,N,Y,N,N,N,N,missing,missing,male,55,59,missing
60 and 61 years,P12B,P012B018,block,missing,N,Y,N,N,N,N,missing,missing,male,60,61,missing
62 to 64 years,P12B,P012B019,block,missing,N,Y,N,N,N,N,missing,missing,male,62,64,missing
65 and 66 years,P12B,P012B020,block,missing,N,Y,N,N,N,N,missing,missing,male,65,66,missing
67 to 69 years,P12B,P012B021,block,missing,N,Y,N,N,N,N,missing,missing,male,67,69,missing
70 to 74 years,P12B,P012B022,block,missing,N,Y,N,N,N,N,missing,missing,male,70,74,missing
75 to 79 years,P12B,P012B023,block,missing,N,Y,N,N,N,N,missing,missing,male,75,79,missing
80 to 84 years,P12B,P012B024,block,missing,N,Y,N,N,N,N,missing,missing,male,80,84,missing
85 years and over,P12B,P012B025,block,missing,N,Y,N,N,N,N,missing,missing,male,85,110,missing
Under 5 years,P12B,P012B027,block,missing,N,Y,N,N,N,N,missing,missing,female,0,4,missing
5 to 9 years,P12B,P012B028,block,missing,N,Y,N,N,N,N,missing,missing,female,5,9,missing
10 to 14 years,P12B,P012B029,block,missing,N,Y,N,N,N,N,missing,missing,female,10,14,missing
15 to 17 years,P12B,P012B030,block,missing,N,Y,N,N,N,N,missing,missing,female,15,17,missing
18 and 19 years,P12B,P012B031,block,missing,N,Y,N,N,N,N,missing,missing,female,18,19,missing
20 years,P12B,P012B032,block,missing,N,Y,N,N,N,N,missing,missing,female,20,20,missing
21 years,P12B,P012B033,block,missing,N,Y,N,N,N,N,missing,missing,female,21,21,missing
22 to 24 years,P12B,P012B034,block,missing,N,Y,N,N,N,N,missing,missing,female,22,24,missing
25 to 29 years,P12B,P012B035,block,missing,N,Y,N,N,N,N,missing,missing,female,25,29,missing
30 to 34 years,P12B,P012B036,block,missing,N,Y,N,N,N,N,missing,missing,female,30,34,missing
35 to 39 years,P12B,P012B037,block,missing,N,Y,N,N,N,N,missing,missing,female,35,39,missing
40 to 44 years,P12B,P012B038,block,missing,N,Y,N,N,N,N,missing,missing,female,40,44,missing
45 to 49 years,P12B,P012B039,block,missing,N,Y,N,N,N,N,missing,missing,female,45,49,missing
50 to 54 years,P12B,P012B040,block,missing,N,Y,N,N,N,N,missing,missing,female,50,54,missing
55 to 59 years,P12B,P012B041,block,missing,N,Y,N,N,N,N,missing,missing,female,55,59,missing
60 and 61 years,P12B,P012B042,block,missing,N,Y,N,N,N,N,missing,missing,female,60,61,missing
62 to 64 years,P12B,P012B043,block,missing,N,Y,N,N,N,N,missing,missing,female,62,64,missing
65 and 66 years,P12B,P012B044,block,missing,N,Y,N,N,N,N,missing,missing,female,65,66,missing
67 to 69 years,P12B,P012B045,block,missing,N,Y,N,N,N,N,missing,missing,female,67,69,missing
70 to 74 years,P12B,P012B046,block,missing,N,Y,N,N,N,N,missing,missing,female,70,74,missing
75 to 79 years,P12B,P012B047,block,missing,N,Y,N,N,N,N,missing,missing,female,75,79,missing
80 to 84 years,P12B,P012B048,block,missing,N,Y,N,N,N,N,missing,missing,female,80,84,missing
85 years and over,P12B,P012B049,block,missing,N,Y,N,N,N,N,missing,missing,female,85,110,missing
Under 5 years,P12C,P012C003,block,missing,N,N,Y,N,N,N,missing,missing,male,0,4,missing
5 to 9 years,P12C,P012C004,block,missing,N,N,Y,N,N,N,missing,missing,male,5,9,missing
10 to 14 years,P12C,P012C005,block,missing,N,N,Y,N,N,N,missing,missing,male,10,14,missing
15 to 17 years,P12C,P012C006,block,missing,N,N,Y,N,N,N,missing,missing,male,15,17,missing
18 and 19 years,P12C,P012C007,block,missing,N,N,Y,N,N,N,missing,missing,male,18,19,missing
20 years,P12C,P012C008,block,missing,N,N,Y,N,N,N,missing,missing,male,20,20,missing
21 years,P12C,P012C009,block,missing,N,N,Y,N,N,N,missing,missing,male,21,21,missing
22 to 24 years,P12C,P012C010,block,missing,N,N,Y,N,N,N,missing,missing,male,22,24,missing
25 to 29 years,P12C,P012C011,block,missing,N,N,Y,N,N,N,missing,missing,male,25,29,missing
30 to 34 years,P12C,P012C012,block,missing,N,N,Y,N,N,N,missing,missing,male,30,34,missing
35 to 39 years,P12C,P012C013,block,missing,N,N,Y,N,N,N,missing,missing,male,35,39,missing
40 to 44 years,P12C,P012C014,block,missing,N,N,Y,N,N,N,missing,missing,male,40,44,missing
45 to 49 years,P12C,P012C015,block,missing,N,N,Y,N,N,N,missing,missing,male,45,49,missing
50 to 54 years,P12C,P012C016,block,missing,N,N,Y,N,N,N,missing,missing,male,50,54,missing
55 to 59 years,P12C,P012C017,block,missing,N,N,Y,N,N,N,missing,missing,male,55,59,missing
60 and 61 years,P12C,P012C018,block,missing,N,N,Y,N,N,N,missing,missing,male,60,61,missing
62 to 64 years,P12C,P012C019,block,missing,N,N,Y,N,N,N,missing,missing,male,62,64,missing
65 and 66 years,P12C,P012C020,block,missing,N,N,Y,N,N,N,missing,missing,male,65,66,missing
67 to 69 years,P12C,P012C021,block,missing,N,N,Y,N,N,N,missing,missing,male,67,69,missing
70 to 74 years,P12C,P012C022,block,missing,N,N,Y,N,N,N,missing,missing,male,70,74,missing
75 to 79 years,P12C,P012C023,block,missing,N,N,Y,N,N,N,missing,missing,male,75,79,missing
80 to 84 years,P12C,P012C024,block,missing,N,N,Y,N,N,N,missing,missing,male,80,84,missing
85 years and over,P12C,P012C025,block,missing,N,N,Y,N,N,N,missing,missing,male,85,110,missing
Under 5 years,P12C,P012C027,block,missing,N,N,Y,N,N,N,missing,missing,female,0,4,missing
5 to 9 years,P12C,P012C028,block,missing,N,N,Y,N,N,N,missing,missing,female,5,9,missing
10 to 14 years,P12C,P012C029,block,missing,N,N,Y,N,N,N,missing,missing,female,10,14,missing
15 to 17 years,P12C,P012C030,block,missing,N,N,Y,N,N,N,missing,missing,female,15,17,missing
18 and 19 years,P12C,P012C031,block,missing,N,N,Y,N,N,N,missing,missing,female,18,19,missing
20 years,P12C,P012C032,block,missing,N,N,Y,N,N,N,missing,missing,female,20,20,missing
21 years,P12C,P012C033,block,missing,N,N,Y,N,N,N,missing,missing,female,21,21,missing
22 to 24 years,P12C,P012C034,block,missing,N,N,Y,N,N,N,missing,missing,female,22,24,missing
25 to 29 years,P12C,P012C035,block,missing,N,N,Y,N,N,N,missing,missing,female,25,29,missing
30 to 34 years,P12C,P012C036,block,missing,N,N,Y,N,N,N,missing,missing,female,30,34,missing
35 to 39 years,P12C,P012C037,block,missing,N,N,Y,N,N,N,missing,missing,female,35,39,missing
40 to 44 years,P12C,P012C038,block,missing,N,N,Y,N,N,N,missing,missing,female,40,44,missing
45 to 49 years,P12C,P012C039,block,missing,N,N,Y,N,N,N,missing,missing,female,45,49,missing
50 to 54 years,P12C,P012C040,block,missing,N,N,Y,N,N,N,missing,missing,female,50,54,missing
55 to 59 years,P12C,P012C041,block,missing,N,N,Y,N,N,N,missing,missing,female,55,59,missing
60 and 61 years,P12C,P012C042,block,missing,N,N,Y,N,N,N,missing,missing,female,60,61,missing
62 to 64 years,P12C,P012C043,block,missing,N,N,Y,N,N,N,missing,missing,female,62,64,missing
65 and 66 years,P12C,P012C044,block,missing,N,N,Y,N,N,N,missing,missing,female,65,66,missing
67 to 69 years,P12C,P012C045,block,missing,N,N,Y,N,N,N,missing,missing,female,67,69,missing
70 to 74 years,P12C,P012C046,block,missing,N,N,Y,N,N,N,missing,missing,female,70,74,missing
75 to 79 years,P12C,P012C047,block,missing,N,N,Y,N,N,N,missing,missing,female,75,79,missing
80 to 84 years,P12C,P012C048,block,missing,N,N,Y,N,N,N,missing,missing,female,80,84,missing
85 years and over,P12C,P012C049,block,missing,N,N,Y,N,N,N,missing,missing,female,85,110,missing
Under 5 years,P12D,P012D003,block,missing,N,N,N,Y,N,N,missing,missing,male,0,4,missing
5 to 9 years,P12D,P012D004,block,missing,N,N,N,Y,N,N,missing,missing,male,5,9,missing
10 to 14 years,P12D,P012D005,block,missing,N,N,N,Y,N,N,missing,missing,male,10,14,missing
15 to 17 years,P12D,P012D006,block,missing,N,N,N,Y,N,N,missing,missing,male,15,17,missing
18 and 19 years,P12D,P012D007,block,missing,N,N,N,Y,N,N,missing,missing,male,18,19,missing
20 years,P12D,P012D008,block,missing,N,N,N,Y,N,N,missing,missing,male,20,20,missing
21 years,P12D,P012D009,block,missing,N,N,N,Y,N,N,missing,missing,male,21,21,missing
22 to 24 years,P12D,P012D010,block,missing,N,N,N,Y,N,N,missing,missing,male,22,24,missing
25 to 29 years,P12D,P012D011,block,missing,N,N,N,Y,N,N,missing,missing,male,25,29,missing
30 to 34 years,P12D,P012D012,block,missing,N,N,N,Y,N,N,missing,missing,male,30,34,missing
35 to 39 years,P12D,P012D013,block,missing,N,N,N,Y,N,N,missing,missing,male,35,39,missing
40 to 44 years,P12D,P012D014,block,missing,N,N,N,Y,N,N,missing,missing,male,40,44,missing
45 to 49 years,P12D,P012D015,block,missing,N,N,N,Y,N,N,missing,missing,male,45,49,missing
50 to 54 years,P12D,P012D016,block,missing,N,N,N,Y,N,N,missing,missing,male,50,54,missing
55 to 59 years,P12D,P012D017,block,missing,N,N,N,Y,N,N,missing,missing,male,55,59,missing
60 and 61 years,P12D,P012D018,block,missing,N,N,N,Y,N,N,missing,missing,male,60,61,missing
62 to 64 years,P12D,P012D019,block,missing,N,N,N,Y,N,N,missing,missing,male,62,64,missing
65 and 66 years,P12D,P012D020,block,missing,N,N,N,Y,N,N,missing,missing,male,65,66,missing
67 to 69 years,P12D,P012D021,block,missing,N,N,N,Y,N,N,missing,missing,male,67,69,missing
70 to 74 years,P12D,P012D022,block,missing,N,N,N,Y,N,N,missing,missing,male,70,74,missing
75 to 79 years,P12D,P012D023,block,missing,N,N,N,Y,N,N,missing,missing,male,75,79,missing
80 to 84 years,P12D,P012D024,block,missing,N,N,N,Y,N,N,missing,missing,male,80,84,missing
85 years and over,P12D,P012D025,block,missing,N,N,N,Y,N,N,missing,missing,male,85,110,missing
Under 5 years,P12D,P012D027,block,missing,N,N,N,Y,N,N,missing,missing,female,0,4,missing
5 to 9 years,P12D,P012D028,block,missing,N,N,N,Y,N,N,missing,missing,female,5,9,missing
10 to 14 years,P12D,P012D029,block,missing,N,N,N,Y,N,N,missing,missing,female,10,14,missing
15 to 17 years,P12D,P012D030,block,missing,N,N,N,Y,N,N,missing,missing,female,15,17,missing
18 and 19 years,P12D,P012D031,block,missing,N,N,N,Y,N,N,missing,missing,female,18,19,missing
20 years,P12D,P012D032,block,missing,N,N,N,Y,N,N,missing,missing,female,20,20,missing
21 years,P12D,P012D033,block,missing,N,N,N,Y,N,N,missing,missing,female,21,21,missing
22 to 24 years,P12D,P012D034,block,missing,N,N,N,Y,N,N,missing,missing,female,22,24,missing
25 to 29 years,P12D,P012D035,block,missing,N,N,N,Y,N,N,missing,missing,female,25,29,missing
30 to 34 years,P12D,P012D036,block,missing,N,N,N,Y,N,N,missing,missing,female,30,34,missing
35 to 39 years,P12D,P012D037,block,missing,N,N,N,Y,N,N,missing,missing,female,35,39,missing
40 to 44 years,P12D,P012D038,block,missing,N,N,N,Y,N,N,missing,missing,female,40,44,missing
45 to 49 years,P12D,P012D039,block,missing,N,N,N,Y,N,N,missing,missing,female,45,49,missing
50 to 54 years,P12D,P012D040,block,missing,N,N,N,Y,N,N,missing,missing,female,50,54,missing
55 to 59 years,P12D,P012D041,block,missing,N,N,N,Y,N,N,missing,missing,female,55,59,missing
60 and 61 years,P12D,P012D042,block,missing,N,N,N,Y,N,N,missing,missing,female,60,61,missing
62 to 64 years,P12D,P012D043,block,missing,N,N,N,Y,N,N,missing,missing,female,62,64,missing
65 and 66 years,P12D,P012D044,block,missing,N,N,N,Y,N,N,missing,missing,female,65,66,missing
67 to 69 years,P12D,P012D045,block,missing,N,N,N,Y,N,N,missing,missing,female,67,69,missing
70 to 74 years,P12D,P012D046,block,missing,N,N,N,Y,N,N,missing,missing,female,70,74,missing
75 to 79 years,P12D,P012D047,block,missing,N,N,N,Y,N,N,missing,missing,female,75,79,missing
80 to 84 years,P12D,P012D048,block,missing,N,N,N,Y,N,N,missing,missing,female,80,84,missing
85 years and over,P12D,P012D049,block,missing,N,N,N,Y,N,N,missing,missing,female,85,110,missing
Under 5 years,P12E,P012E003,block,missing,N,N,N,N,Y,N,missing,missing,male,0,4,missing
5 to 9 years,P12E,P012E004,block,missing,N,N,N,N,Y,N,missing,missing,male,5,9,missing
10 to 14 years,P12E,P012E005,block,missing,N,N,N,N,Y,N,missing,missing,male,10,14,missing
15 to 17 years,P12E,P012E006,block,missing,N,N,N,N,Y,N,missing,missing,male,15,17,missing
18 and 19 years,P12E,P012E007,block,missing,N,N,N,N,Y,N,missing,missing,male,18,19,missing
20 years,P12E,P012E008,block,missing,N,N,N,N,Y,N,missing,missing,male,20,20,missing
21 years,P12E,P012E009,block,missing,N,N,N,N,Y,N,missing,missing,male,21,21,missing
22 to 24 years,P12E,P012E010,block,missing,N,N,N,N,Y,N,missing,missing,male,22,24,missing
25 to 29 years,P12E,P012E011,block,missing,N,N,N,N,Y,N,missing,missing,male,25,29,missing
30 to 34 years,P12E,P012E012,block,missing,N,N,N,N,Y,N,missing,missing,male,30,34,missing
35 to 39 years,P12E,P012E013,block,missing,N,N,N,N,Y,N,missing,missing,male,35,39,missing
40 to 44 years,P12E,P012E014,block,missing,N,N,N,N,Y,N,missing,missing,male,40,44,missing
45 to 49 years,P12E,P012E015,block,missing,N,N,N,N,Y,N,missing,missing,male,45,49,missing
50 to 54 years,P12E,P012E016,block,missing,N,N,N,N,Y,N,missing,missing,male,50,54,missing
55 to 59 years,P12E,P012E017,block,missing,N,N,N,N,Y,N,missing,missing,male,55,59,missing
60 and 61 years,P12E,P012E018,block,missing,N,N,N,N,Y,N,missing,missing,male,60,61,missing
62 to 64 years,P12E,P012E019,block,missing,N,N,N,N,Y,N,missing,missing,male,62,64,missing
65 and 66 years,P12E,P012E020,block,missing,N,N,N,N,Y,N,missing,missing,male,65,66,missing
67 to 69 years,P12E,P012E021,block,missing,N,N,N,N,Y,N,missing,missing,male,67,69,missing
70 to 74 years,P12E,P012E022,block,missing,N,N,N,N,Y,N,missing,missing,male,70,74,missing
75 to 79 years,P12E,P012E023,block,missing,N,N,N,N,Y,N,missing,missing,male,75,79,missing
80 to 84 years,P12E,P012E024,block,missing,N,N,N,N,Y,N,missing,missing,male,80,84,missing
85 years and over,P12E,P012E025,block,missing,N,N,N,N,Y,N,missing,missing,male,85,110,missing
Under 5 years,P12E,P012E027,block,missing,N,N,N,N,Y,N,missing,missing,female,0,4,missing
5 to 9 years,P12E,P012E028,block,missing,N,N,N,N,Y,N,missing,missing,female,5,9,missing
10 to 14 years,P12E,P012E029,block,missing,N,N,N,N,Y,N,missing,missing,female,10,14,missing
15 to 17 years,P12E,P012E030,block,missing,N,N,N,N,Y,N,missing,missing,female,15,17,missing
18 and 19 years,P12E,P012E031,block,missing,N,N,N,N,Y,N,missing,missing,female,18,19,missing
20 years,P12E,P012E032,block,missing,N,N,N,N,Y,N,missing,missing,female,20,20,missing
21 years,P12E,P012E033,block,missing,N,N,N,N,Y,N,missing,missing,female,21,21,missing
22 to 24 years,P12E,P012E034,block,missing,N,N,N,N,Y,N,missing,missing,female,22,24,missing
25 to 29 years,P12E,P012E035,block,missing,N,N,N,N,Y,N,missing,missing,female,25,29,missing
30 to 34 years,P12E,P012E036,block,missing,N,N,N,N,Y,N,missing,missing,female,30,34,missing
35 to 39 years,P12E,P012E037,block,missing,N,N,N,N,Y,N,missing,missing,female,35,39,missing
40 to 44 years,P12E,P012E038,block,missing,N,N,N,N,Y,N,missing,missing,female,40,44,missing
45 to 49 years,P12E,P012E039,block,missing,N,N,N,N,Y,N,missing,missing,female,45,49,missing
50 to 54 years,P12E,P012E040,block,missing,N,N,N,N,Y,N,missing,missing,female,50,54,missing
55 to 59 years,P12E,P012E041,block,missing,N,N,N,N,Y,N,missing,missing,female,55,59,missing
60 and 61 years,P12E,P012E042,block,missing,N,N,N,N,Y,N,missing,missing,female,60,61,missing
62 to 64 years,P12E,P012E043,block,missing,N,N,N,N,Y,N,missing,missing,female,62,64,missing
65 and 66 years,P12E,P012E044,block,missing,N,N,N,N,Y,N,missing,missing,female,65,66,missing
67 to 69 years,P12E,P012E045,block,missing,N,N,N,N,Y,N,missing,missing,female,67,69,missing
70 to 74 years,P12E,P012E046,block,missing,N,N,N,N,Y,N,missing,missing,female,70,74,missing
75 to 79 years,P12E,P012E047,block,missing,N,N,N,N,Y,N,missing,missing,female,75,79,missing
80 to 84 years,P12E,P012E048,block,missing,N,N,N,N,Y,N,missing,missing,female,80,84,missing
85 years and over,P12E,P012E049,block,missing,N,N,N,N,Y,N,missing,missing,female,85,110,missing
Under 5 years,P12F,P012F003,block,missing,N,N,N,N,N,Y,missing,missing,male,0,4,missing
5 to 9 years,P12F,P012F004,block,missing,N,N,N,N,N,Y,missing,missing,male,5,9,missing
10 to 14 years,P12F,P012F005,block,missing,N,N,N,N,N,Y,missing,missing,male,10,14,missing
15 to 17 years,P12F,P012F006,block,missing,N,N,N,N,N,Y,missing,missing,male,15,17,missing
18 and 19 years,P12F,P012F007,block,missing,N,N,N,N,N,Y,missing,missing,male,18,19,missing
20 years,P12F,P012F008,block,missing,N,N,N,N,N,Y,missing,missing,male,20,20,missing
21 years,P12F,P012F009,block,missing,N,N,N,N,N,Y,missing,missing,male,21,21,missing
22 to 24 years,P12F,P012F010,block,missing,N,N,N,N,N,Y,missing,missing,male,22,24,missing
25 to 29 years,P12F,P012F011,block,missing,N,N,N,N,N,Y,missing,missing,male,25,29,missing
30 to 34 years,P12F,P012F012,block,missing,N,N,N,N,N,Y,missing,missing,male,30,34,missing
35 to 39 years,P12F,P012F013,block,missing,N,N,N,N,N,Y,missing,missing,male,35,39,missing
40 to 44 years,P12F,P012F014,block,missing,N,N,N,N,N,Y,missing,missing,male,40,44,missing
